"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"actual energy consumption",8,337,51.28961,0.00547,52.005
"data granularity",8,350,51.28961,0.00568,51.994
"corporate emission",8,354,51.28961,0.00575,51.991
"motor line",8,375,51.28961,0.00609,51.973
"Millions USD",8,404,51.28961,0.00656,51.949
"building emission",8,436,51.28961,0.00708,51.922
"data hierarchy",8,446,51.28961,0.00724,51.914
"embodied emission",8,464,51.28961,0.00753,51.899
"insured risk",8,687,51.28961,0.01116,51.713
"alternative option",11,23728,70.52322,0.38528,51.631
"premium policy",8,789,51.28961,0.01281,51.628
"insured company",8,895,51.28961,0.01453,51.541
